Agency,MMR Goal,Critical,Performance Indicator,FY12,FY13,FY14,FY15,FY16,TGT16,TGT17,Desired direction,5yr trend
3-1-1,1a,TRUE,311 calls (000),"18,957","19,917","21,346","21,079","18,799",*,*,Neutral,Neutral
3-1-1,1a,FALSE,311 mobile app contacts (000),NA,NA,NA,705,"1,010",*,*,Up,NA
3-1-1,1a,FALSE,311-NYC (text) contacts (000),NA,NA,234,175,156,*,*,Neutral,NA
3-1-1,1a,FALSE,Calls handled in languages other than English (%),2.2%,2.1%,1.8%,2.5%,3.0%,*,*,Neutral,Up
3-1-1,1a,FALSE,Call takers time occupied (%),80%,78%,79%,77%,74%,*,*,Up,Neutral
3-1-1,1a,FALSE,Calls resolved at 311 without transfer to agency for resolution (%),90%,91%,93%,94%,93%,*,*,Up,Neutral
3-1-1,1a,FALSE,Complaints about 311 per million calls,30.0,26.0,23.0,26.0,32.0,*,*,Down,Neutral
3-1-1,2a,FALSE,Completed requests for interpretation,"425,157","421,839","392,759","531,194","556,576",*,*,Neutral,Up
3-1-1,2a,FALSE,E-mails responded to in 14 days (%),100%,100%,100%,100%,100%,*,*,Neutral,Neutral
3-1-1,2a,FALSE,Customer satisfaction index,82,84,83,84,85,*,*,Up,Neutral
ACS,1a,TRUE,Number of State Central Register consolidated investigations,"57,453","54,039","55,529","54,926","55,329",*,*,Neutral,Neutral
ACS,1a,FALSE,Substantiation rate,39.6%,39.8%,39.5%,38.7%,36.1%,*,*,Neutral,Neutral
ACS,1a,FALSE,Children in complete investigations with repeat investigations within a year (%),23.8%,24.3%,24.2%,24.4%,23.8%,*,*,Down,Neutral
ACS,1b,FALSE,Families entering child welfare specialized teen preventive services,NA,NA,"1,572","1,570","1,455",*,*,Up,NA
ACS,1b,FALSE,Children receiving child welfare preventive services (daily average),"22,594","24,127","23,725","24,889","23,545",*,*,Up,Neutral
ACS,1b,FALSE,Children who received child welfare preventive services during the year (annual total),"40,805","43,455","44,456","47,001","46,207",*,*,Up,Up
ACS,1c,FALSE,All children entering foster care (preliminary),"5,698","4,779","4,501","4,233","3,702",*,*,Neutral,Down
ACS,1c,TRUE,Children in foster care (average),"13,820","12,958","11,750","11,098","9,926",*,*,Neutral,Down
ACS,1c,FALSE,- Children in foster kinship homes,"4,843","4,461","3,929","3,636","3,223",*,*,Neutral,Down
ACS,1c,FALSE,- Children in nonrelative foster boarding homes,"7,896","7,398","6,915","6,533","5,845",*,*,Down,Down
ACS,1c,FALSE,- Children in residential care,"1,081","1,099",923,929,859,*,*,Down,Down
ACS,1c,FALSE,School Attendance Rate - Children in Foster Care (%),NA,NA,82.1%,82.5%,82.5%,*,*,Up,NA
ACS,1c,FALSE,Total days all children spent in foster care,"5,971,122","5,502,471","4,976,399","4,710,116","4,381,890",*,*,Neutral,Down
ACS,1d,FALSE,Siblings placed simultaneously in the same foster home (%)(preliminary),86.3%,87.9%,88.2%,88.9%,91.0%,*,*,Up,Neutral
ACS,1e,FALSE,Children adopted,"1,295","1,310","1,101","1,004","1,052",*,*,Up,Down
ACS,1e,FALSE,Children eligible for adoption (average),"1,675","1,446","1,248","1,092","1,053",*,*,Neutral,Down
ACS,1e,FALSE,Kinship Guardianship Assistance discharges,NA,119,251,275,323,*,*,Up,NA
ACS,1e,FALSE,Children returned to parents (reunifications),"4,039","3,393","2,940","2,506","2,499",*,*,Neutral,Down
ACS,2a,FALSE,Average child care voucher enrollment,"69,020","71,756","67,541","66,801","67,527",*,*,Neutral,Neutral
ACS,2a,TRUE,Average mandated children voucher enrollment,NA,"56,649","54,852","55,000","54,761",*,*,Neutral,NA
ACS,2a,TRUE,Average other eligible children voucher enrollment,NA,"15,107","12,689","11,801","12,659",*,*,Neutral,NA
ACS,2a,TRUE,Average center-based child care voucher enrollment,NA,"27,552","26,401","27,052","27,132",*,*,Neutral,NA
ACS,2a,TRUE,Average family child care voucher enrollment,NA,"21,503","21,507","22,177","24,119",*,*,Neutral,NA
ACS,2a,TRUE,Average informal (home-based) child care voucher enrollment,NA,"22,700","19,633","17,572","15,976",*,*,Neutral,NA
ACS,2a,FALSE,EarlyLearn - Fiscal year spending per child based on average enrollment in Contract Family Child Care,NA,"$9,084","$8,629","$8,577","$8,715",*,*,Neutral,NA
