Agency,Platform,Url,Date_Sampled,Likes_Followers_Visits_Downloads
OEM,SMS,,2012-02-17,61652
OEM,SMS,,2012-11-09,44547
EDC,Flickr,http://www.flickr.com/nycedc,2012-05-09,
NYCHA,Newsletter,,2012-05-09,
DHS,Twitter,www.twitter.com/nycdhs,2012-06-13,389
DHS,Twitter,www.twitter.com/nycdhs,2012-08-02,431
DOH,Android,Condom Finder,2011-08-08,5026
DOT,Android,You The Man,2011-08-08,
MOME,Android,MiNY Venor app,2011-08-08,313
DOT,Broadcastr,,2011-08-08,
DPR,Broadcastr,http://beta.broadcastr.com/Echo.html?audioId=670026-4001,2011-08-08,
ENDHT,Facebook,http://www.facebook.com/pages/NYC-Lets-End-Human-Trafficking/125730490795659?sk=wall,2011-08-08,3
VAC,Facebook,https://www.facebook.com/pages/NYC-Voter-Assistance-Commission/110226709012110,2011-08-08,36
PlaNYC,Facebook,http://www.facebook.com/pages/New-York-NY/PlaNYC/160454173971169?ref=ts,2011-08-08,47
DFTA,Facebook,http://www.facebook.com/pages/NYC-Department-for-the-Aging/109028655823590,2011-08-08,90
energyNYC,Facebook,http://www.facebook.com/EnergyNYC?sk=wall,2011-08-08,105
MOIA,Facebook,http://www.facebook.com/ihwnyc,2011-08-08,123
City Store,Facebook,http://www.facebook.com/citystorenyc,2011-08-08,119
OCDV,Facebook,http://www.facebook.com/pages/NYC-Healthy-Relationship-Training-Academy/134637829901065,2011-08-08,148
HIA,Facebook,http://www.facebook.com/pages/New-York-City-Health-Insurance-Link/145920551598,2011-08-08,197
MOPD,Facebook,http://www.facebook.com/pages/New-York-City-Mayors-Office-for-People-with-Disabilities/145237285504681?sk=wall,2011-08-08,179
DOB: UrbanCanvas,Facebook,http://www.facebook.com/NYCurbancanvas,2011-08-08,200
DOT,Facebook,http://www.facebook.com/JanetteSadikKhan,2011-08-08,200
HRA,Facebook,http://www.facebook.com/#!/pages/New-York-NY/NYC-DADS/111504588886342,2011-08-08,183
MOPD,Facebook,http://www.facebook.com/profile.php?id=1570569347,2011-08-08,190
DFTA,Facebook,http://www.facebook.com/timebanksnyc,2011-08-08,227
DOB: Cool Roofs,Facebook,http://www.facebook.com/coolroofs?sk=wall,2011-08-08,194
NYC & Co,Facebook,http://www.facebook.com/nycgo.nl,2011-08-08,243
MOIA,Facebook,http://www.facebook.com/pages/NYC-Mayors-Office-of-Immigrant-Affairs/118622031512497,2011-08-08,237
CAU,Facebook,http://www.facebook.com/NYCMayorsCAU,2011-08-08,234
DOITT,Facebook,http://www.facebook.com/pages/New-York-NY/NYC-INFORMATION-TECHNOLOGY-TELECOMMUNICATIONS/104786059565184,2011-08-08,238
City Charter,Facebook,http://www.facebook.com/pages/New-York-NY/NYC-Charter-Revision-Commission/110528715643388,2011-08-08,287
Vets,Facebook,http://www.facebook.com/pages/NYC-Mayors-Office-of-Veterans-Affairs/128003537214726,2011-08-08,257
DHS,Facebook,http://www.facebook.com/pages/New-York-NY/HOPE-2011/157690657606772,2011-08-08,282
NYC & Co,Facebook,http://www.facebook.com/nycgo.de,2011-08-08,272
NYC & Co,Facebook,http://www.facebook.com/nycgo.fr,2011-08-08,277
SICB1,Facebook,https://www.facebook.com/CB1SI,2011-08-08,290
ACS,Facebook,http://www.facebook.com/FamilyConnectionsNYC,2011-08-08,290
